pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
adenosine nucleotides degradation,HumanCyc,1,XDH,9 (9),0.361,1,0,,12 (13),1,1,0.729,1
RHO GTPases Activate Rhotekin and Rhophilins,Reactome,1,RHPN2,9 (9),0.361,1,0,,1 (1),1,1,0.729,1
MAPK1 (ERK2) activation,Reactome,1,JAK1,9 (9),0.361,1,0,,2 (2),1,1,0.729,1
CHL1 interactions,Reactome,1,NRP1,9 (9),0.361,1,0,,1 (1),1,1,0.729,1
ROBO receptors bind AKAP5,Reactome,1,PRKCA,9 (9),0.361,1,0,,2 (2),1,1,0.729,1
signal dependent regulation of myogenesis by corepressor mitr,BioCarta,1,MEF2C,9 (9),0.361,1,0,,1 (1),1,1,0.729,1
Multifunctional anion exchangers,Reactome,1,SLC26A11,9 (9),0.361,1,0,,8 (10),1,1,0.729,1
Glucocorticoid Pathway (Peripheral Tissue)_ Pharmacodynamics,PharmGKB,1,NR3C1,9 (9),0.361,1,0,,4 (5),1,1,0.729,1
Sepiapterin reductase deficiency,SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
Segawa syndrome,SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
Folate-Alcohol and Cancer Pathway Hypotheses,Wikipathways,1,ALDH1A1,9 (9),0.361,1,0,,11 (12),1,1,0.729,1
glycogenolysis,HumanCyc,1,PYGL,9 (9),0.361,1,0,,6 (7),1,1,0.729,1
Pterine Biosynthesis,SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
TRIF-mediated programmed cell death,Reactome,1,LY96,9 (9),0.361,1,0,,1 (1),1,1,0.729,1
Cyclophosphamide Action Pathway,SMPDB,1,ALDH1A1,9 (9),0.361,1,0,,15 (23),1,1,0.729,1
Dopa-responsive dystonia,SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),SMPDB,1,PTS,9 (9),0.361,1,0,,20 (20),1,1,0.729,1
Ca2+ activated K+ channels,Reactome,1,KCNN4,9 (9),0.361,1,0,,1 (1),1,1,0.729,1
Cyclophosphamide Metabolism Pathway,SMPDB,1,ALDH1A1,9 (9),0.361,1,0,,15 (23),1,1,0.729,1
retinoate biosynthesis I,HumanCyc,1,ALDH1A1,9 (9),0.361,1,0,,5 (6),1,1,0.729,1
Caloric restriction and aging,Wikipathways,1,NAMPT,9 (9),0.361,1,0,,3 (3),1,1,0.729,1
Signaling by NOTCH3,Reactome,3,APH1B;MAML2;STAT1,44 (44),0.361,1,0,,3 (3),1,1,0.729,1
Vasopressin-regulated water reabsorption - Homo sapiens (human),KEGG,3,CREB3L2;RAB5B;RAB11A,44 (44),0.361,1,0,,2 (2),1,1,0.729,1
Pyruvate dehydrogenase deficiency (E2),SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
Citric Acid Cycle,SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,0,,47 (48),1,1,1,HMDB01201,31 (36),0.362,1,0.73,1
Pyruvate dehydrogenase deficiency (E3),SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
2-ketoglutarate dehydrogenase complex deficiency,SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
Mitochondrial complex II deficiency,SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
Fumarase deficiency,SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
Congenital lactic acidosis,SMPDB,0,,21 (21),1,1,1,HMDB01201,31 (33),0.362,1,0.73,1
Interleukin-7 signaling,Reactome,2,HGF;JAK1,26 (26),0.362,1,0,,2 (2),1,1,0.73,1
Glypican 1 network,PID,2,BLK;TGFBR1,26 (26),0.362,1,0,,2 (2),1,1,0.73,1
Calmodulin induced events,Reactome,2,PDE1A;PRKCA,26 (26),0.362,1,0,,8 (9),1,1,0.73,1
CaM pathway,Reactome,2,PDE1A;PRKCA,26 (26),0.362,1,0,,8 (9),1,1,0.73,1
Nuclear signaling by ERBB4,Reactome,2,APH1B;NCOR1,26 (26),0.362,1,0,,1 (2),1,1,0.73,1
Regulation of IFNA signaling,Reactome,2,STAT1;JAK1,26 (26),0.362,1,0,,2 (9),1,1,0.73,1
Signaling by BMP,Reactome,2,BMPR1A;ZFYVE16,26 (26),0.362,1,0,,2 (2),1,1,0.73,1
Synaptic vesicle cycle - Homo sapiens (human),KEGG,4,UNC13B;ATP6V0A1;STXBP1;ATP6V1E1,63 (63),0.366,1,0,,10 (12),1,1,0.734,1
Cell-cell junction organization,Reactome,4,F11R;MPP5;SDK2;CLDN7,63 (64),0.366,1,0,,1 (1),1,1,0.734,1
Endometrial cancer,Wikipathways,4,AKT3;BRAF;PIK3CA;FGFR2,63 (63),0.366,1,0,,1 (4),1,1,0.734,1
Regulation of retinoblastoma protein,PID,4,MEF2C;BGLAP;MAPK11;CCND2,64 (64),0.378,1,0,,1 (2),1,1,0.745,1
Porphyrin metabolism,EHMN,1,SLC46A1,34 (34),0.816,1,1,HMDB00295,43 (48),0.465,1,0.747,1
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,2,ALDH3A2;ALDH7A1,27 (27),0.38,1,0,,22 (48),1,1,0.748,1
Collecting duct acid secretion - Homo sapiens (human),KEGG,2,ATP6V1E1;ATP6V0A1,27 (27),0.38,1,0,,7 (8),1,1,0.748,1
Endogenous sterols,Reactome,2,NCOA1;PTGIS,27 (27),0.38,1,0,,32 (43),1,1,0.748,1
Fatty Acid Elongation In Mitochondria,SMPDB,0,,7 (7),1,1,1,HMDB00220,33 (34),0.38,1,0.748,1
Glycogenosis_ Type IC,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Fructose-1_6-diphosphatase deficiency,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Metabolism of porphyrins,Reactome,0,,19 (19),1,1,1,HMDB00295,33 (37),0.38,1,0.748,1
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD),SMPDB,0,,7 (7),1,1,1,HMDB00220,33 (34),0.38,1,0.748,1
Gluconeogenesis,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Glycogenosis_ Type IA. Von gierke disease,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Triosephosphate isomerase,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Glycogenosis_ Type IB,SMPDB,0,,22 (22),1,1,1,HMDB01201,33 (34),0.38,1,0.748,1
Biological oxidations,Reactome,6,TBXAS1;NCOA1;PTGIS;ABHD10;ACSS1;ALDH1A1,226 (231),0.966,1,4,HMDB00658#HMDB10370;HMDB00925;HMDB00295;HMDB01043,224 (321),0.4,1,0.754,1
Tryptophan metabolism,Wikipathways,3,ALDH1A1;MDM2;ALDH3A2,46 (46),0.388,1,0,,23 (27),1,1,0.755,1
Hedgehog signaling pathway - Homo sapiens (human),KEGG,3,SPOP;CCND2;PTCH1,46 (47),0.388,1,0,,1 (1),1,1,0.755,1
Shigellosis - Homo sapiens (human),KEGG,4,MAPK11;MAPK13;MAPK12;ARPC2,65 (65),0.389,1,0,,1 (2),1,1,0.756,1
FGFR2b ligand binding and activation,Reactome,1,FGFR2,10 (10),0.392,1,0,,3 (4),1,1,0.759,1
Digestion of dietary carbohydrate,Reactome,1,MGAM,10 (10),0.392,1,0,,13 (18),1,1,0.759,1
Crosslinking of collagen fibrils,Reactome,1,LOX,10 (10),0.392,1,0,,6 (6),1,1,0.759,1
Metabolism of ingested SeMet_ Sec_ MeSec into H2Se,Reactome,1,HNMT,10 (10),0.392,1,0,,30 (32),1,1,0.759,1
putrescine degradation III,HumanCyc,1,ALDH3A2,10 (10),0.392,1,0,,14 (15),1,1,0.759,1
Gamma-carboxylation of protein precursors,Reactome,1,BGLAP,10 (10),0.392,1,0,,3 (8),1,1,0.759,1
Zinc influx into cells by the SLC39 gene family,Reactome,1,SLC39A4,10 (10),0.392,1,0,,1 (1),1,1,0.759,1
overview of telomerase protein component gene htert transcriptional regulation,BioCarta,1,MAX,10 (10),0.392,1,0,,1 (1),1,1,0.759,1
Activation of the AP-1 family of transcription factors,Reactome,1,MAPK11,10 (10),0.392,1,0,,2 (2),1,1,0.759,1
Insulin processing,Reactome,1,CPE,10 (10),0.392,1,0,,3 (3),1,1,0.759,1
PI3K events in ERBB4 signaling,Reactome,1,PIK3CA,10 (10),0.392,1,0,,3 (4),1,1,0.759,1
Gemcitabine Pathway_ Pharmacodynamics,PharmGKB,1,CMPK1,10 (10),0.392,1,0,,1 (1),1,1,0.759,1
Interleukin-12 signaling,Reactome,1,JAK1,10 (10),0.392,1,0,,2 (2),1,1,0.759,1
MAPK3 (ERK1) activation,Reactome,1,JAK1,10 (10),0.392,1,0,,2 (2),1,1,0.759,1
Trans-sulfuration pathway,Wikipathways,1,CSAD,10 (10),0.392,1,0,,13 (14),1,1,0.759,1
Leptin and adiponectin,Wikipathways,1,LEPR,10 (10),0.392,1,0,,2 (3),1,1,0.759,1
Cellular responses to stress,Reactome,12,MAPK11;MDM2;MDM4;CAMK2A;NCF2;CAMK2D;EPAS1;RPS6KA2;RPS6KA3;HMGA2;NR3C1;AGO4,344 (345),0.913,1,1,HMDB01397,39 (48),0.432,1,0.762,1
Regulation of RUNX2 expression and activity,Reactome,2,STAT1;NR3C1,28 (28),0.397,1,0,,3 (4),1,1,0.764,1
Citrate cycle,INOH,0,,32 (32),1,1,1,HMDB01201,35 (35),0.398,1,0.765,1
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,3,ENPP2;NADK;ENPP1,47 (47),0.401,1,0,,32 (36),1,1,0.768,1
Glycolysis and Gluconeogenesis,EHMN,2,ACSS1;ALDH7A1,66 (67),0.837,1,1,HMDB01201,45 (52),0.48,1,0.768,1
Galactosemia,SMPDB,0,,13 (13),1,1,1,HMDB00295,36 (36),0.407,1,0.773,1
Pyrimidine catabolism,Reactome,0,,12 (12),1,1,1,HMDB00288,36 (39),0.407,1,0.773,1
Amine-derived hormones,Reactome,0,,18 (18),1,1,1,HMDB00158,36 (38),0.407,1,0.773,1
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),KEGG,0,,11 (11),1,1,1,HMDB00158,36 (90),0.407,1,0.773,1
Galactose Metabolism,SMPDB,0,,13 (13),1,1,1,HMDB00295,36 (36),0.407,1,0.773,1
Glucose metabolism,Reactome,1,PGM2L1,90 (91),0.989,1,1,HMDB01201,37 (44),0.416,1,0.776,1
Integrin cell surface interactions,Reactome,4,F11R;ITGA3;ITGAL;ITGB7,67 (67),0.411,1,0,,1 (1),1,1,0.776,1
Generic Transcription Pathway,Reactome,37,BLK;NCOR1;KMT2C;KDM5B;AKT3;KRBA1;NDRG1;AGO4;CNOT6L;RRAGD;SGK1;MAX;GLS;EPC1;PRR5;MAPK11;CASP1;RNF34;KMT2A;MDM4;CTLA4;MAML2;NR3C1;PRKAG2;TAF7;KMT2E;MDM2;SKIL;ITGAL;NR1D1;JMY;STAT1;NR1D2;BGLAP;COL1A1;CCND2;PRDM1,1099 (1107),0.995,1,1,HMDB01201,37 (49),0.416,1,0.779,1
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,3,ALDH3A2;EHHADH;ALDH7A1,48 (48),0.414,1,0,,33 (42),1,1,0.78,1
Negative regulation of FGFR3 signaling,Reactome,2,BRAF;MKNK1,29 (29),0.415,1,0,,4 (4),1,1,0.78,1
Cyclin E associated events during G1/S transition ,Reactome,2,AKT3;MAX,29 (29),0.415,1,0,,4 (4),1,1,0.78,1
fc epsilon receptor i signaling in mast cells,BioCarta,2,PIK3CA;BTK,29 (29),0.415,1,0,,1 (1),1,1,0.78,1
Diuretics Pathway_ Pharmacodynamics,PharmGKB,2,STK39;SGK1,29 (29),0.415,1,0,,3 (3),1,1,0.78,1
TP53 Regulates Transcription of Cell Death Genes,Wikipathways,2,CASP1;NDRG1,29 (29),0.415,1,0,,7 (10),1,1,0.78,1
Nucleotide GPCRs,Wikipathways,1,ADORA2A,11 (11),0.422,1,0,,2 (2),1,1,0.786,1
Cimetidine Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Famotidine Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Dermatan sulfate biosynthesis,Reactome,1,NCAN,11 (11),0.422,1,0,,2 (2),1,1,0.786,1
CLEC7A (Dectin-1) induces NFAT activation,Reactome,1,ITPR2,11 (11),0.422,1,0,,6 (6),1,1,0.786,1
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,1,CSAD,11 (11),0.422,1,0,,18 (22),1,1,0.786,1
Gamma-carboxylation_ transport_ and amino-terminal cleavage of proteins,Reactome,1,BGLAP,11 (11),0.422,1,0,,3 (8),1,1,0.786,1
Beta-oxidation of very long chain fatty acids,Reactome,1,EHHADH,11 (11),0.422,1,0,,15 (26),1,1,0.786,1
regulators of bone mineralization,BioCarta,1,ENPP1,11 (11),0.422,1,0,,3 (4),1,1,0.786,1
pertussis toxin-insensitive ccr5 signaling in macrophage,BioCarta,1,CXCR4,11 (11),0.422,1,0,,1 (2),1,1,0.786,1
RHO GTPases activate IQGAPs,Reactome,1,CLIP1,11 (11),0.422,1,0,,2 (2),1,1,0.786,1
Lactose Degradation,SMPDB,1,ATP1B3,11 (11),0.422,1,0,,9 (9),1,1,0.786,1
GAB1 signalosome,Reactome,1,PIK3CA,11 (11),0.422,1,0,,5 (6),1,1,0.786,1
Regulated proteolysis of p75NTR,Reactome,1,APH1B,11 (11),0.422,1,0,,1 (1),1,1,0.786,1
folate transformations,HumanCyc,1,ALDH1L2,11 (11),0.422,1,0,,19 (21),1,1,0.786,1
Pantoprazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,13 (14),1,1,0.786,1
Rabeprazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,13 (14),1,1,0.786,1
Esomeprazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,11 (13),1,1,0.786,1
Omeprazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,13 (14),1,1,0.786,1
Lansoprazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Gastric Acid Production,SMPDB,1,SSTR4,11 (11),0.422,1,0,,11 (12),1,1,0.786,1
Nizatidine Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Ranitidine Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
TRAF6-mediated induction of TAK1 complex within TLR4 complex,Reactome,1,LY96,11 (11),0.422,1,0,,3 (3),1,1,0.786,1
Betazole Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Roxatidine acetate Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,11 (12),1,1,0.786,1
Metiamide Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,11 (13),1,1,0.786,1
Pirenzepine Action Pathway,SMPDB,1,SSTR4,11 (11),0.422,1,0,,12 (13),1,1,0.786,1
Lactose Intolerance,SMPDB,1,ATP1B3,11 (11),0.422,1,0,,9 (9),1,1,0.786,1
3-oxo-10R-octadecatrienoate beta-oxidation,EHMN,1,EHHADH,11 (11),0.422,1,0,,9 (10),1,1,0.786,1
BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation,Wikipathways,1,FOXO1,11 (11),0.422,1,0,,1 (1),1,1,0.786,1
HDAC6 interactions,Wikipathways,1,PRKCZ,11 (11),0.422,1,0,,4 (6),1,1,0.786,1
Sterol Regulatory Element-Binding Proteins (SREBP) signalling,Wikipathways,4,PIK3CA;ACSS1;PRKAG2;LPIN1,68 (68),0.422,1,0,,3 (5),1,1,0.786,1
Protein-protein interactions at synapses,Reactome,5,PPFIBP1;DLG2;STXBP1;CASK;PPFIBP2,88 (88),0.426,1,0,,2 (2),1,1,0.789,1
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,1,PDP2,54 (54),0.932,1,1,HMDB01201,42 (44),0.457,1,0.789,1
Valine_ leucine and isoleucine degradation,EHMN,3,SLC3A2;EHHADH;ALDH7A1,49 (49),0.428,1,0,,53 (62),1,1,0.791,1
RNA Polymerase II Transcription,Reactome,43,BLK;NCOR1;KMT2C;GTF2A1;AKT3;KRBA1;ELL2;NDRG1;AGO4;CNOT6L;RRAGD;SGK1;MAX;GLS;EPC1;PRR5;EAF2;CASP1;RNF34;RNU11;KMT2A;MLLT3;MDM4;KDM5B;SRSF5;CTLA4;MAML2;NR3C1;PRKAG2;TAF7;KMT2E;MDM2;SKIL;ITGAL;NR1D1;JMY;STAT1;MAPK11;NR1D2;BGLAP;COL1A1;CCND2;PRDM1,1228 (1236),0.994,1,1,HMDB01201,39 (52),0.432,1,0.793,1
Transcriptional Regulation by MECP2,Wikipathways,2,MEF2C;SGK1,30 (30),0.432,1,0,,3 (3),1,1,0.794,1
Beta2 integrin cell surface interactions,PID,2,F11R;ITGAL,30 (30),0.432,1,0,,1 (6),1,1,0.794,1
Retinoic acid receptors-mediated signaling,PID,2,NCOA1;PRKCA,30 (30),0.432,1,0,,2 (2),1,1,0.794,1
Activation of BH3-only proteins,Reactome,2,AKT3;PPP3CC,30 (30),0.432,1,0,,4 (4),1,1,0.794,1
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),KEGG,2,GLUL;ACSS1,30 (30),0.432,1,0,,44 (62),1,1,0.794,1
role of mef2d in t-cell apoptosis,BioCarta,2,PRKCA;PPP3CC,30 (30),0.432,1,0,,1 (1),1,1,0.794,1
Pre-NOTCH Transcription and Translation,Reactome,2,MAML2;AGO4,30 (30),0.432,1,0,,2 (2),1,1,0.794,1
Porphyria Variegata (PV),SMPDB,0,,15 (15),1,1,1,HMDB00295,39 (39),0.432,1,0.795,1
Acute Intermittent Porphyria,SMPDB,0,,15 (15),1,1,1,HMDB00295,39 (39),0.432,1,0.795,1
Porphyrin Metabolism,SMPDB,0,,15 (15),1,1,1,HMDB00295,39 (39),0.432,1,0.795,1
Hereditary Coproporphyria (HCP),SMPDB,0,,15 (15),1,1,1,HMDB00295,39 (39),0.432,1,0.795,1
Congenital Erythropoietic Porphyria (CEP) or Gunther Disease,SMPDB,0,,15 (15),1,1,1,HMDB00295,39 (39),0.432,1,0.795,1
Negative regulation of FGFR4 signaling,Reactome,2,BRAF;MKNK1,31 (31),0.448,1,0,,4 (4),1,1,0.808,1
Transferrin endocytosis and recycling,Reactome,2,ATP6V1E1;ATP6V0A1,31 (31),0.448,1,0,,6 (8),1,1,0.808,1
PD-1 signaling,Reactome,2,PDCD1LG2;CD274,31 (31),0.448,1,0,,3 (3),1,1,0.808,1
erk and pi-3 kinase are necessary for collagen binding in corneal epithelia,BioCarta,2,PIK3CA;BCAR1,31 (31),0.448,1,0,,1 (1),1,1,0.808,1
FGFR1 mutant receptor activation,Reactome,2,PIK3CA;STAT1,31 (31),0.448,1,0,,4 (15),1,1,0.808,1
Activated NOTCH1 Transmits Signal to the Nucleus,Reactome,2,APH1B;DNER,31 (32),0.448,1,0,,1 (1),1,1,0.808,1
Steroid biosynthesis - Homo sapiens (human),KEGG,0,,19 (19),1,1,1,HMDB00658#HMDB10370,41 (50),0.449,1,0.808,1
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Reactome,1,TRIM25,12 (12),0.45,1,0,,1 (1),1,1,0.809,1
Degradation of cysteine and homocysteine,Reactome,1,CSAD,12 (12),0.45,1,0,,34 (39),1,1,0.809,1
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,Reactome,1,PELI1,12 (12),0.45,1,0,,2 (2),1,1,0.809,1
phospholipase c-epsilon pathway,BioCarta,1,RAPGEF3,12 (12),0.45,1,0,,4 (6),1,1,0.809,1
Signaling by NOTCH4,Reactome,1,APH1B,12 (12),0.45,1,0,,1 (1),1,1,0.809,1
TP53 Regulates Transcription of Caspase Activators and Caspases,Reactome,1,CASP1,12 (12),0.45,1,0,,2 (2),1,1,0.809,1
Interleukin-2 signaling,Reactome,1,JAK1,12 (12),0.45,1,0,,2 (2),1,1,0.809,1
Sympathetic Nerve Pathway (Pre- and Post- Ganglionic Junction),PharmGKB,1,CACNA1E,12 (12),0.45,1,0,,2 (3),1,1,0.809,1
Trehalose Degradation,SMPDB,1,ATP1B3,12 (12),0.45,1,0,,10 (10),1,1,0.809,1
Ammonia Recycling,SMPDB,1,GLUL,12 (12),0.45,1,0,,29 (29),1,1,0.809,1
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,EHMN,1,EHHADH,12 (12),0.45,1,0,,9 (10),1,1,0.809,1
Trihydroxycoprostanoyl-CoA beta-oxidation,EHMN,1,EHHADH,12 (12),0.45,1,0,,9 (10),1,1,0.809,1
Iron metabolism in placenta,Wikipathways,1,SLC40A1,12 (12),0.45,1,0,,2 (2),1,1,0.809,1
IRAK1 recruits IKK complex,Reactome,1,PELI1,12 (12),0.45,1,0,,2 (2),1,1,0.809,1
Josephin domain DUBs,Reactome,1,ATXN3,12 (12),0.45,1,0,,1 (1),1,1,0.809,1
Cardiac conduction,Reactome,7,ATP1B3;KCNK5;CACNA1S;CAMK2A;FGF11;CAMK2D;ITPR2,131 (131),0.453,1,0,,9 (10),1,1,0.812,1
Transcriptional regulation by RUNX3,Reactome,3,MAML2;ITGAL;MDM2,51 (52),0.453,1,0,,7 (7),1,1,0.812,1
Synaptic Vesicle Pathway,Wikipathways,3,SYN3;UNC13B;STXBP1,51 (51),0.453,1,0,,6 (7),1,1,0.812,1
Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Fatty acid Metabolism,SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Carnitine palmitoyl transferase deficiency (I),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Glutaminolysis and Cancer,SMPDB,0,,37 (37),1,1,1,HMDB01201,42 (44),0.457,1,0.815,1
Long chain acyl-CoA dehydrogenase deficiency (LCAD),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Carnitine palmitoyl transferase deficiency (II),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Very-long-chain acyl coa dehydrogenase deficiency (VLCAD),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Medium chain acyl-coa dehydrogenase deficiency (MCAD),SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Glutaric Aciduria Type I,SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Ethylmalonic Encephalopathy,SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Trifunctional protein deficiency,SMPDB,0,,14 (14),1,1,1,HMDB00220,42 (43),0.457,1,0.815,1
Cytochrome P450 - arranged by substrate type,Reactome,3,NCOA1;TBXAS1;PTGIS,66 (68),0.628,1,1,HMDB01043,91 (121),0.737,1,0.82,1
Tyrosine metabolism,INOH,0,,33 (33),1,1,1,HMDB00158,43 (44),0.465,1,0.821,1
Monoamine Transport,Wikipathways,2,UNC13B;ADORA2A,32 (32),0.465,1,0,,8 (14),1,1,0.821,1
RUNX2 regulates bone development,Reactome,2,BGLAP;COL1A1,32 (32),0.465,1,0,,5 (6),1,1,0.821,1
Propanoate metabolism - Homo sapiens (human),KEGG,2,EHHADH;ACSS1,32 (32),0.465,1,0,,40 (48),1,1,0.821,1
Glyoxylate metabolism and glycine degradation,Reactome,2,LIPT1;DHTKD1,32 (32),0.465,1,0,,33 (43),1,1,0.821,1
Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human),KEGG,4,GJA1;ITGA3;CACNA1S;ITGB7,72 (72),0.466,1,0,,2 (2),1,1,0.822,1
Phosphodiesterases in neuronal function,Wikipathways,3,PDE1A;PDE6A;ADORA2A,52 (52),0.466,1,0,,10 (11),1,1,0.822,1
Neuroactive ligand-receptor interaction - Homo sapiens (human),KEGG,9,SSTR4;F2RL1;ADORA2A;S1PR1;LEPR;PRLR;CHRNB1;EDNRA;NR3C1,277 (277),0.926,1,1,HMDB00295,49 (130),0.51,1,0.827,1
Regulation of TP53 Activity through Phosphorylation,Reactome,5,MAPK11;MDM2;MDM4;PRKAG2;TAF7,93 (93),0.474,1,0,,3 (3),1,1,0.828,1
PKMTs methylate histone lysines,Reactome,4,KMT2E;KMT2A;KMT2C;SETD7,73 (73),0.476,1,0,,2 (2),1,1,0.83,1
Folate Metabolism,SMPDB,1,SLC46A1,13 (13),0.477,1,0,,27 (28),1,1,0.83,1
FGFR2c ligand binding and activation,Reactome,1,FGFR2,13 (13),0.477,1,0,,3 (3),1,1,0.83,1
Regulation of RUNX3 expression and activity,Reactome,1,MDM2,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
L-kynurenine degradation,HumanCyc,1,DHTKD1,13 (13),0.477,1,0,,27 (30),1,1,0.83,1
NF-kB is activated and signals survival,Reactome,1,SQSTM1,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
noradrenaline and adrenaline degradation,HumanCyc,1,ALDH3A2,13 (13),0.477,1,0,,19 (20),1,1,0.83,1
Methotrexate Action Pathway,SMPDB,1,SLC46A1,13 (13),0.477,1,0,,28 (29),1,1,0.83,1
Import of palmitoyl-CoA into the mitochondrial matrix,Reactome,1,PRKAG2,13 (13),0.477,1,0,,13 (14),1,1,0.83,1
DNA-PK pathway in nonhomologous end joining,PID,1,DNTT,13 (13),0.477,1,0,,1 (1),1,1,0.83,1
TRAF3-dependent IRF activation pathway,Reactome,1,TRIM25,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
activation of pkc through g-protein coupled receptors,BioCarta,1,PRKCA,13 (13),0.477,1,0,,2 (3),1,1,0.83,1
Downregulation of ERBB2:ERBB3 signaling,Reactome,1,AKT3,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
Presynaptic depolarization and calcium channel opening,Reactome,1,CACNA1E,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
Taxane Pathway_ Pharmacokinetics,PharmGKB,1,MAP4,13 (13),0.477,1,0,,2 (2),1,1,0.83,1
Methotrexate Pathway_ Pharmacokinetics,PharmGKB,1,SLC46A1,13 (13),0.477,1,0,,1 (1),1,1,0.83,1
Folate malabsorption_ hereditary,SMPDB,1,SLC46A1,13 (13),0.477,1,0,,27 (28),1,1,0.83,1
